Column,Data_Type,Non_Null_Count,Null_Count,Null_Percentage,Unique_Values
HeartDisease,object,319795,0,0.0,2
BMI,float64,319795,0,0.0,3604
Smoking,object,319795,0,0.0,2
AlcoholDrinking,object,319795,0,0.0,2
Stroke,object,319795,0,0.0,2
PhysicalHealth,float64,319795,0,0.0,31
MentalHealth,float64,319795,0,0.0,31
DiffWalking,object,319795,0,0.0,2
Sex,object,319795,0,0.0,2
AgeCategory,object,319795,0,0.0,13
Race,object,319795,0,0.0,6
Diabetic,object,319795,0,0.0,4
PhysicalActivity,object,319795,0,0.0,2
GenHealth,object,319795,0,0.0,5
SleepTime,float64,319795,0,0.0,24
Asthma,object,319795,0,0.0,2
KidneyDisease,object,319795,0,0.0,2
SkinCancer,object,319795,0,0.0,2
