Feature,Correlation,Absolute_Correlation,P_Value,Significant
AgeCategory,0.2334,0.2334,0.0,Yes
DiffWalking,0.2013,0.2013,0.0,Yes
Stroke,0.1968,0.1968,0.0,Yes
PhysicalHealth,0.1707,0.1707,0.0,Yes
Diabetic,0.1686,0.1686,0.0,Yes
KidneyDisease,0.1452,0.1452,0.0,Yes
Smoking,0.1078,0.1078,0.0,Yes
PhysicalActivity,-0.1,0.1,0.0,Yes
SkinCancer,0.0933,0.0933,0.0,Yes
Sex,0.07,0.07,0.0,Yes
BMI,0.0518,0.0518,0.0,Yes
Asthma,0.0414,0.0414,0.0,Yes
Race,0.0349,0.0349,0.0,Yes
AlcoholDrinking,-0.0321,0.0321,0.0,Yes
MentalHealth,0.0286,0.0286,0.0,Yes
GenHealth,-0.0111,0.0111,0.0,Yes
SleepTime,0.0083,0.0083,2e-06,Yes
