dataset,column,dtype,non_null_count,missing_count,missing_ratio,n_unique
diabetes_012,Diabetes_012,float64,253680,0,0.0,3
diabetes_012,HighBP,float64,253680,0,0.0,2
diabetes_012,HighChol,float64,253680,0,0.0,2
diabetes_012,CholCheck,float64,253680,0,0.0,2
diabetes_012,BMI,float64,253680,0,0.0,84
diabetes_012,Smoker,float64,253680,0,0.0,2
diabetes_012,Stroke,float64,253680,0,0.0,2
diabetes_012,HeartDiseaseorAttack,float64,253680,0,0.0,2
diabetes_012,PhysActivity,float64,253680,0,0.0,2
diabetes_012,Fruits,float64,253680,0,0.0,2
diabetes_012,Veggies,float64,253680,0,0.0,2
diabetes_012,HvyAlcoholConsump,float64,253680,0,0.0,2
diabetes_012,AnyHealthcare,float64,253680,0,0.0,2
diabetes_012,NoDocbcCost,float64,253680,0,0.0,2
diabetes_012,GenHlth,float64,253680,0,0.0,5
diabetes_012,MentHlth,float64,253680,0,0.0,31
diabetes_012,PhysHlth,float64,253680,0,0.0,31
diabetes_012,DiffWalk,float64,253680,0,0.0,2
diabetes_012,Sex,float64,253680,0,0.0,2
diabetes_012,Age,float64,253680,0,0.0,13
diabetes_012,Education,float64,253680,0,0.0,6
diabetes_012,Income,float64,253680,0,0.0,8
diabetes_binary_5050,Diabetes_binary,float64,70692,0,0.0,2
diabetes_binary_5050,HighBP,float64,70692,0,0.0,2
diabetes_binary_5050,HighChol,float64,70692,0,0.0,2
diabetes_binary_5050,CholCheck,float64,70692,0,0.0,2
diabetes_binary_5050,BMI,float64,70692,0,0.0,80
diabetes_binary_5050,Smoker,float64,70692,0,0.0,2
diabetes_binary_5050,Stroke,float64,70692,0,0.0,2
diabetes_binary_5050,HeartDiseaseorAttack,float64,70692,0,0.0,2
diabetes_binary_5050,PhysActivity,float64,70692,0,0.0,2
diabetes_binary_5050,Fruits,float64,70692,0,0.0,2
diabetes_binary_5050,Veggies,float64,70692,0,0.0,2
diabetes_binary_5050,HvyAlcoholConsump,float64,70692,0,0.0,2
diabetes_binary_5050,AnyHealthcare,float64,70692,0,0.0,2
diabetes_binary_5050,NoDocbcCost,float64,70692,0,0.0,2
diabetes_binary_5050,GenHlth,float64,70692,0,0.0,5
diabetes_binary_5050,MentHlth,float64,70692,0,0.0,31
diabetes_binary_5050,PhysHlth,float64,70692,0,0.0,31
diabetes_binary_5050,DiffWalk,float64,70692,0,0.0,2
diabetes_binary_5050,Sex,float64,70692,0,0.0,2
diabetes_binary_5050,Age,float64,70692,0,0.0,13
diabetes_binary_5050,Education,float64,70692,0,0.0,6
diabetes_binary_5050,Income,float64,70692,0,0.0,8
diabetes_binary_full,Diabetes_binary,float64,253680,0,0.0,2
diabetes_binary_full,HighBP,float64,253680,0,0.0,2
diabetes_binary_full,HighChol,float64,253680,0,0.0,2
diabetes_binary_full,CholCheck,float64,253680,0,0.0,2
diabetes_binary_full,BMI,float64,253680,0,0.0,84
diabetes_binary_full,Smoker,float64,253680,0,0.0,2
diabetes_binary_full,Stroke,float64,253680,0,0.0,2
diabetes_binary_full,HeartDiseaseorAttack,float64,253680,0,0.0,2
diabetes_binary_full,PhysActivity,float64,253680,0,0.0,2
diabetes_binary_full,Fruits,float64,253680,0,0.0,2
diabetes_binary_full,Veggies,float64,253680,0,0.0,2
diabetes_binary_full,HvyAlcoholConsump,float64,253680,0,0.0,2
diabetes_binary_full,AnyHealthcare,float64,253680,0,0.0,2
diabetes_binary_full,NoDocbcCost,float64,253680,0,0.0,2
diabetes_binary_full,GenHlth,float64,253680,0,0.0,5
diabetes_binary_full,MentHlth,float64,253680,0,0.0,31
diabetes_binary_full,PhysHlth,float64,253680,0,0.0,31
diabetes_binary_full,DiffWalk,float64,253680,0,0.0,2
diabetes_binary_full,Sex,float64,253680,0,0.0,2
diabetes_binary_full,Age,float64,253680,0,0.0,13
diabetes_binary_full,Education,float64,253680,0,0.0,6
diabetes_binary_full,Income,float64,253680,0,0.0,8
