dataset,feature,class_0_mean,class_1_mean,mean_difference,cohens_d,effect_size
diabetes_012,GenHlth,2.3723906543193123,3.290980591863294,0.9185899375439819,0.9053194260465459,LARGE
diabetes_binary_5050,GenHlth,2.383183387087648,3.290980591863294,0.9077972047756462,0.892741437827492,LARGE
diabetes_binary_full,GenHlth,2.3851850834043256,3.290980591863294,0.9057955084589686,0.8909976824474973,LARGE
diabetes_012,HighBP,0.371131898007983,0.7526735698523171,0.38154167184433413,0.8330331779162476,LARGE
diabetes_binary_5050,HighBP,0.37424319583545523,0.7526735698523171,0.3784303740168619,0.8254557805489409,LARGE
diabetes_binary_full,HighBP,0.37660190350563816,0.7526735698523171,0.376071666346679,0.8197433998938394,LARGE
diabetes_012,BMI,27.742521162548023,31.94401063769592,4.201489475147898,0.6147506944552446,MEDIUM
diabetes_binary_5050,BMI,27.769959825722854,31.94401063769592,4.174050811973068,0.6137430277681646,MEDIUM
diabetes_012,HighChol,0.3791710925911195,0.6701182594918803,0.29094716690076083,0.6090096796748332,MEDIUM
diabetes_binary_full,BMI,27.80577005871738,31.94401063769592,4.138240578978543,0.6042625932011205,MEDIUM
diabetes_binary_5050,HighChol,0.38128784020822726,0.6701182594918803,0.28883041928365305,0.6042397197293133,MEDIUM
diabetes_binary_full,HighChol,0.3842965364991252,0.6701182594918803,0.2858217229927551,0.5974882192767683,MEDIUM
diabetes_binary_5050,Age,7.789056753239405,9.379052792395179,1.589996039155774,0.5804740803335998,MEDIUM
diabetes_012,Age,7.7865589158785795,9.379052792395179,1.592493876516599,0.5801283365319113,MEDIUM
diabetes_012,DiffWalk,0.13228171808538017,0.37121597917727606,0.2389342610918959,0.5726323423148301,MEDIUM
diabetes_binary_full,Age,7.814064689878809,9.379052792395179,1.5649881025163692,0.5705356279296259,MEDIUM
diabetes_binary_5050,DiffWalk,0.13424432750523396,0.37121597917727606,0.2369716516720421,0.5667561860031968,MEDIUM
diabetes_binary_full,DiffWalk,0.13536141874375957,0.37121597917727606,0.2358545604335165,0.5634296852557924,MEDIUM
diabetes_012,Income,6.20866342540816,5.210094494426526,-0.9985689309816337,-0.47237710228314295,SMALL
diabetes_binary_full,Income,6.19047422755961,5.210094494426526,-0.9803797331330841,-0.4629075575071142,SMALL
diabetes_binary_5050,Income,6.186527471283879,5.210094494426526,-0.9764329768573532,-0.4606439956113436,SMALL
diabetes_012,PhysHlth,3.582415782651624,7.954478583149437,4.3720628004978135,0.4465580443695013,SMALL
diabetes_binary_full,PhysHlth,3.6410820119633223,7.954478583149437,4.313396571186114,0.4393638120035085,SMALL
diabetes_binary_5050,PhysHlth,3.666355457477508,7.954478583149437,4.2881231256719285,0.43617292435505584,SMALL
diabetes_012,HeartDiseaseorAttack,0.07183333879262341,0.22288236292649805,0.15104902413387464,0.43614608134807453,SMALL
diabetes_binary_5050,HeartDiseaseorAttack,0.07273807502970633,0.22288236292649805,0.1501442878967917,0.4328346020185858,SMALL
diabetes_binary_full,HeartDiseaseorAttack,0.07335092106588988,0.22288236292649805,0.14953144186060818,0.430601403983682,SMALL
diabetes_012,Education,5.106629293926618,4.74551575850167,-0.3611135354249484,-0.3569158238143718,SMALL
