dataset,feature,correlation_score,stability_score,composite_importance,recommendation
diabetes_binary_5050,GenHlth,0.4076115984949137,1.199235491191143,0.6450987663037824,HIGH
diabetes_binary_5050,HighBP,0.3815155489073096,1.1703325750410243,0.618160656747424,HIGH
diabetes_012,CholCheck,0.0675464761160003,1.766245343934608,0.5771561364615826,HIGH
diabetes_012,GenHlth,0.30258662088597904,1.0992483809662863,0.5415851489100711,HIGH
diabetes_binary_full,GenHlth,0.29356906307871583,1.1046468886058047,0.5368924107368425,HIGH
diabetes_binary_5050,BMI,0.29337274476104663,1.094157312098581,0.5336081149623069,HIGH
diabetes_binary_full,HighBP,0.2631287899233617,1.163884859729129,0.5333556108650919,HIGH
diabetes_binary_5050,HighChol,0.2892128070886513,1.0912635548549918,0.5298280314185535,HIGH
diabetes_012,HighBP,0.2715964243298842,1.1254613677821086,0.5277559073655514,HIGH
diabetes_binary_5050,Age,0.2787380662819016,1.0842245850427694,0.5203840219101619,HIGH
diabetes_binary_5050,DiffWalk,0.272646006159807,1.0802901334949582,0.5149392443603523,HIGH
diabetes_012,Age,0.1850257941017255,1.2718634434487759,0.5110770889058406,HIGH
diabetes_binary_full,CholCheck,0.06476081015893602,1.5209676346130319,0.5016228574951648,HIGH
diabetes_binary_full,Age,0.1774418721672562,1.2397788290519567,0.4961429592326663,HIGH
diabetes_binary_5050,Income,0.22444871496381935,1.0530348270248489,0.47302454858212817,HIGH
diabetes_012,HighChol,0.2090849110057615,1.058978059838071,0.4640528556554543,HIGH
diabetes_binary_5050,PhysHlth,0.2130810190381065,1.047548231724087,0.46342118284390066,HIGH
diabetes_binary_5050,HeartDiseaseorAttack,0.21152340436022748,1.0468229646555878,0.4621132724488355,HIGH
diabetes_binary_full,HighChol,0.20027619187911974,1.067310892915341,0.46038660218998606,HIGH
diabetes_binary_full,HvyAlcoholConsump,0.05705625612168215,1.3146487862999987,0.4343340151751771,HIGH
diabetes_012,BMI,0.22437947375839842,0.9231660940957681,0.4340154598596093,HIGH
diabetes_binary_full,BMI,0.21684306020311767,0.9312177883994008,0.43115547866200266,HIGH
diabetes_binary_5050,Education,0.17048063498805938,1.0299190577642061,0.42831216182090337,HIGH
diabetes_012,HvyAlcoholConsump,0.05788191173818541,1.2841261501837085,0.42575518327184236,HIGH
diabetes_binary_5050,PhysActivity,0.15866560486404835,1.0258103990620757,0.41880904312345657,HIGH
diabetes_binary_full,Income,0.16391878680099395,0.9563612668600616,0.40165153081871424,HIGH
diabetes_012,Income,0.17148303762778472,0.9314690333331888,0.39947883633940595,HIGH
diabetes_binary_5050,Stroke,0.1254267846851673,1.015968953883452,0.3925894354446527,HIGH
diabetes_binary_full,DiffWalk,0.21834435192101762,0.7985211502111981,0.3923973914080717,HIGH
diabetes_012,DiffWalk,0.2242391232880504,0.7649909076711366,0.38646465860297624,HIGH
diabetes_binary_5050,CholCheck,0.11538161710272934,1.0134782057347722,0.3848105936923422,HIGH
diabetes_binary_full,Education,0.12445596921588253,0.9460274294951024,0.3709274072996485,HIGH
diabetes_binary_5050,HvyAlcoholConsump,0.09485313995926527,1.0090645267056253,0.3691165559831733,HIGH
diabetes_012,Education,0.13051691771156296,0.9106461300489457,0.3645556814127778,HIGH
diabetes_binary_5050,MentHlth,0.08702877147509527,1.0076175564182475,0.36320540695804093,HIGH
diabetes_binary_5050,Smoker,0.08599896420800067,1.007436676104089,0.3624302777768271,HIGH
diabetes_binary_5050,Veggies,0.07929314561270259,1.0063129489224363,0.3573990866056227,HIGH
diabetes_binary_full,PhysHlth,0.171336700387252,0.7885671251490821,0.356505827815801,HIGH
diabetes_binary_full,PhysActivity,0.11813311489591194,0.9067176604751885,0.3547084785696949,HIGH
diabetes_012,PhysHlth,0.17628673570564068,0.7657442331026784,0.35312398492475194,HIGH
diabetes_012,PhysActivity,0.12194716655035331,0.8865348210903184,0.35132346291234284,HIGH
diabetes_012,Smoker,0.06291409506016685,0.9940655489656414,0.3422595312318092,HIGH
diabetes_binary_full,Smoker,0.060788505640340905,0.997220831935043,0.3417182035287515,HIGH
diabetes_binary_5050,Fruits,0.054076556286670505,1.0029186628371562,0.3387291882518162,HIGH
diabetes_012,HeartDiseaseorAttack,0.18027168633560328,0.7055993930549422,0.33786999835140497,HIGH
diabetes_binary_full,HeartDiseaseorAttack,0.17728225780720294,0.7074752205660814,0.33634014663486644,HIGH
diabetes_binary_full,AnyHealthcare,0.016255139545866115,1.0771360669949799,0.33451941778060024,HIGH
diabetes_binary_5050,Sex,0.044412858371259384,1.001962226411862,0.3316776687834402,HIGH
diabetes_binary_5050,NoDocbcCost,0.04097657326664262,1.0016677337419655,0.32918392140923947,HIGH
diabetes_binary_full,Fruits,0.040779228104065125,0.981912894379376,0.3231193279866584,HIGH
diabetes_012,Fruits,0.04219162985450706,0.9776346892291089,0.32282454766688756,HIGH
