dataset,feature,correlation,p_value,abs_correlation
diabetes_binary_5050,GenHlth,0.4076115984949137,0.0,0.4076115984949137
diabetes_binary_5050,HighBP,0.3815155489073096,0.0,0.3815155489073096
diabetes_012,GenHlth,0.30258662088597904,0.0,0.30258662088597904
diabetes_binary_full,GenHlth,0.29356906307871583,0.0,0.29356906307871583
diabetes_binary_5050,BMI,0.29337274476104663,0.0,0.29337274476104663
diabetes_binary_5050,HighChol,0.2892128070886513,0.0,0.2892128070886513
diabetes_binary_5050,Age,0.2787380662819016,0.0,0.2787380662819016
diabetes_binary_5050,DiffWalk,0.272646006159807,0.0,0.272646006159807
diabetes_012,HighBP,0.2715964243298842,0.0,0.2715964243298842
diabetes_binary_full,HighBP,0.2631287899233617,0.0,0.2631287899233617
diabetes_binary_5050,Income,-0.22444871496381935,0.0,0.22444871496381935
diabetes_012,BMI,0.22437947375839842,0.0,0.22437947375839842
diabetes_012,DiffWalk,0.2242391232880504,0.0,0.2242391232880504
diabetes_binary_full,DiffWalk,0.21834435192101762,0.0,0.21834435192101762
diabetes_binary_full,BMI,0.21684306020311767,0.0,0.21684306020311767
diabetes_binary_5050,PhysHlth,0.2130810190381065,0.0,0.2130810190381065
diabetes_binary_5050,HeartDiseaseorAttack,0.21152340436022748,0.0,0.21152340436022748
diabetes_012,HighChol,0.2090849110057615,0.0,0.2090849110057615
diabetes_binary_full,HighChol,0.20027619187911974,0.0,0.20027619187911974
diabetes_012,Age,0.1850257941017255,0.0,0.1850257941017255
diabetes_012,HeartDiseaseorAttack,0.18027168633560328,0.0,0.18027168633560328
diabetes_binary_full,Age,0.1774418721672562,0.0,0.1774418721672562
diabetes_binary_full,HeartDiseaseorAttack,0.17728225780720294,0.0,0.17728225780720294
diabetes_012,PhysHlth,0.17628673570564068,0.0,0.17628673570564068
diabetes_012,Income,-0.17148303762778472,0.0,0.17148303762778472
diabetes_binary_full,PhysHlth,0.171336700387252,0.0,0.171336700387252
diabetes_binary_5050,Education,-0.17048063498805938,0.0,0.17048063498805938
diabetes_binary_full,Income,-0.16391878680099395,0.0,0.16391878680099395
diabetes_binary_5050,PhysActivity,-0.15866560486404835,0.0,0.15866560486404835
diabetes_012,Education,-0.13051691771156296,0.0,0.13051691771156296
diabetes_binary_5050,Stroke,0.1254267846851673,9.382034788968303e-246,0.1254267846851673
diabetes_binary_full,Education,-0.12445596921588253,0.0,0.12445596921588253
diabetes_012,PhysActivity,-0.12194716655035331,0.0,0.12194716655035331
diabetes_binary_full,PhysActivity,-0.11813311489591194,0.0,0.11813311489591194
diabetes_binary_5050,CholCheck,0.11538161710272934,4.8647956302705115e-208,0.11538161710272934
diabetes_012,Stroke,0.1071786699433978,0.0,0.1071786699433978
diabetes_binary_full,Stroke,0.10581606726811461,0.0,0.10581606726811461
diabetes_binary_5050,HvyAlcoholConsump,-0.09485313995926527,5.854500651128945e-141,0.09485313995926527
diabetes_binary_5050,MentHlth,0.08702877147509527,6.795439710338409e-119,0.08702877147509527
diabetes_binary_5050,Smoker,0.08599896420800067,3.9188850311097924e-116,0.08599896420800067
diabetes_binary_5050,Veggies,-0.07929314561270259,5.752654340095549e-99,0.07929314561270259
diabetes_012,MentHlth,0.07350676620655901,7.688145367865057e-301,0.07350676620655901
diabetes_binary_full,MentHlth,0.06931508263835524,1.1432833409078693e-267,0.06931508263835524
diabetes_012,CholCheck,0.0675464761160003,2.922649680142274e-254,0.0675464761160003
diabetes_binary_full,CholCheck,0.06476081015893602,7.513349289930586e-234,0.06476081015893602
diabetes_012,Smoker,0.06291409506016685,8.502350805395149e-221,0.06291409506016685
diabetes_binary_full,Smoker,0.060788505640340905,3.0500161449536276e-206,0.060788505640340905
diabetes_012,Veggies,-0.05897159923470444,3.363593390244272e-194,0.05897159923470444
diabetes_012,HvyAlcoholConsump,-0.05788191173818541,3.7424605261306575e-187,0.05788191173818541
diabetes_binary_full,HvyAlcoholConsump,-0.05705625612168215,6.672382210567717e-182,0.05705625612168215
diabetes_binary_full,Veggies,-0.056584137064162286,6.20709377257152e-179,0.056584137064162286
diabetes_binary_5050,Fruits,-0.054076556286670505,6.143416245681189e-47,0.054076556286670505
diabetes_binary_5050,Sex,0.044412858371259384,3.300777786537594e-32,0.044412858371259384
diabetes_012,Fruits,-0.04219162985450706,2.6712984611873545e-100,0.04219162985450706
diabetes_binary_5050,NoDocbcCost,0.04097657326664262,1.1624617633498652e-27,0.04097657326664262
diabetes_binary_full,Fruits,-0.040779228104065125,8.089882445534834e-94,0.040779228104065125
diabetes_012,NoDocbcCost,0.03543568500155102,2.7250905786958506e-71,0.03543568500155102
diabetes_binary_full,NoDocbcCost,0.03143276335925913,1.771412953039238e-56,0.03143276335925913
diabetes_binary_full,Sex,0.03142999802068112,1.8111027092372466e-56,0.03142999802068112
diabetes_012,Sex,0.031040163652105886,4.0376451193056464e-55,0.031040163652105886
diabetes_binary_5050,AnyHealthcare,0.02319074853112196,6.974360572237616e-10,0.02319074853112196
diabetes_binary_full,AnyHealthcare,0.016255139545866115,2.6633030462443745e-16,0.016255139545866115
diabetes_012,AnyHealthcare,0.015410377239766855,8.352510294115257e-15,0.015410377239766855
