dataset,column,mean,std,min,q25,median,q75,max,outlier_count_iqr,outlier_ratio_iqr
diabetes_012,Diabetes_012,0.29692131819615264,0.6981597284091015,0.0,0.0,0.0,0.0,2.0,39977,0.15758830022075054
diabetes_012,HighBP,0.4290011037527594,0.49493446268990143,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_012,HighChol,0.4241209397666351,0.49420980465688485,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_012,CholCheck,0.9626695048880479,0.1895707543627255,0.0,1.0,1.0,1.0,1.0,9470,0.037330495111952064
diabetes_012,BMI,28.382363607694735,6.608694201406008,12.0,24.0,27.0,31.0,98.0,9847,0.03881661936297698
diabetes_012,Smoker,0.44316855881425415,0.4967606667785632,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_012,Stroke,0.04057079785556607,0.19729409940016232,0.0,0.0,0.0,0.0,1.0,10292,0.04057079785556607
diabetes_012,HeartDiseaseorAttack,0.09418558814254178,0.29208731475075544,0.0,0.0,0.0,0.0,1.0,23893,0.09418558814254178
diabetes_012,PhysActivity,0.7565436770734784,0.42916904339704554,0.0,1.0,1.0,1.0,1.0,61760,0.2434563229265216
diabetes_012,Fruits,0.6342557552822453,0.4816391871704334,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_012,Veggies,0.811419899085462,0.39117547168449074,0.0,1.0,1.0,1.0,1.0,47839,0.188580100914538
diabetes_012,HvyAlcoholConsump,0.05619678334910123,0.2303017888952292,0.0,0.0,0.0,0.0,1.0,14256,0.05619678334910123
diabetes_012,AnyHealthcare,0.9510525070955534,0.2157587063107391,0.0,1.0,1.0,1.0,1.0,12417,0.04894749290444655
diabetes_012,NoDocbcCost,0.08417691579943236,0.277653500857625,0.0,0.0,0.0,0.0,1.0,21354,0.08417691579943236
diabetes_012,GenHlth,2.5113923052664773,1.0684773622803934,1.0,2.0,2.0,3.0,5.0,12081,0.04762298959318827
diabetes_012,MentHlth,3.1847721538946705,7.412846696196173,0.0,0.0,0.0,2.0,30.0,36208,0.14273099968464206
diabetes_012,PhysHlth,4.2420805739514345,8.717951307175127,0.0,0.0,0.0,3.0,30.0,40949,0.161419899085462
diabetes_012,DiffWalk,0.16822374645222327,0.374065594732803,0.0,0.0,0.0,0.0,1.0,42675,0.16822374645222327
diabetes_012,Sex,0.4403421633554084,0.49642916311850516,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_012,Age,8.032119205298013,3.054220434168484,1.0,6.0,8.0,10.0,13.0,0,0.0
diabetes_012,Education,5.050433617155472,0.9857741757276509,1.0,4.0,5.0,6.0,6.0,0,0.0
