dataset,target_class,feature,count,mean,std,median,min,max
diabetes_012,0.0,HighBP,213703,0.371131898007983,0.483108791507008,0.0,0.0,1.0
diabetes_012,0.0,HighChol,213703,0.3791710925911195,0.48518190060022154,0.0,0.0,1.0
diabetes_012,0.0,CholCheck,213703,0.9571040181934741,0.20262307042631073,1.0,0.0,1.0
diabetes_012,0.0,BMI,213703,27.742521162548023,6.260993358124124,27.0,12.0,98.0
diabetes_012,0.0,Smoker,213703,0.42968044435501607,0.4950316220286227,0.0,0.0,1.0
diabetes_012,0.0,Stroke,213703,0.0316280070939575,0.1750080557596719,0.0,0.0,1.0
diabetes_012,0.0,HeartDiseaseorAttack,213703,0.07183333879262341,0.25821235877182214,0.0,0.0,1.0
diabetes_012,0.0,PhysActivity,213703,0.7790765688829825,0.41486994842200137,1.0,0.0,1.0
diabetes_012,0.0,Fruits,213703,0.6430232612551063,0.479108986424637,1.0,0.0,1.0
diabetes_012,0.0,Veggies,213703,0.8214391000594282,0.38298510586556456,1.0,0.0,1.0
diabetes_012,0.0,HvyAlcoholConsump,213703,0.06184283795735203,0.2408704482545521,0.0,0.0,1.0
diabetes_012,0.0,AnyHealthcare,213703,0.9497386559851757,0.21848424356256718,1.0,0.0,1.0
diabetes_012,0.0,NoDocbcCost,213703,0.07961048745221172,0.27068986056534994,0.0,0.0,1.0
diabetes_012,0.0,GenHlth,213703,2.3723906543193123,1.019367207897737,2.0,1.0,5.0
diabetes_012,0.0,MentHlth,213703,2.944404149684375,7.064439890348331,0.0,0.0,30.0
diabetes_012,0.0,PhysHlth,213703,3.582415782651624,7.999204519260361,0.0,0.0,30.0
diabetes_012,0.0,DiffWalk,213703,0.13228171808538017,0.33879758302577645,0.0,0.0,1.0
diabetes_012,0.0,Sex,213703,0.43398548452759206,0.4956240845719654,0.0,0.0,1.0
diabetes_012,0.0,Age,213703,7.7865589158785795,3.1049419681608845,8.0,1.0,13.0
diabetes_012,0.0,Education,213703,5.106629293926618,0.9604226994447088,5.0,1.0,6.0
diabetes_012,0.0,Income,213703,6.20866342540816,2.0052029175511237,7.0,1.0,8.0
diabetes_012,1.0,HighBP,4631,0.6290218095443748,0.4831187979766119,1.0,0.0,1.0
diabetes_012,1.0,HighChol,4631,0.6208162383934356,0.48523631316638627,1.0,0.0,1.0
diabetes_012,1.0,CholCheck,4631,0.9866119628589938,0.1149419439307065,1.0,0.0,1.0
diabetes_012,1.0,BMI,4631,30.724465558194776,6.964898385082603,30.0,13.0,96.0
diabetes_012,1.0,Smoker,4631,0.49276614122219825,0.5000016556626894,0.0,0.0,1.0
diabetes_012,1.0,Stroke,4631,0.0572230619736558,0.23229342460306285,0.0,0.0,1.0
diabetes_012,1.0,HeartDiseaseorAttack,4631,0.14338155905851868,0.35049937986873514,0.0,0.0,1.0
diabetes_012,1.0,PhysActivity,4631,0.6784711725329302,0.46711364439736563,1.0,0.0,1.0
diabetes_012,1.0,Fruits,4631,0.6022457352623624,0.48948702472743494,1.0,0.0,1.0
diabetes_012,1.0,Veggies,4631,0.7689483912761822,0.42155086974277345,1.0,0.0,1.0
diabetes_012,1.0,HvyAlcoholConsump,4631,0.04491470524724681,0.20713917927684364,0.0,0.0,1.0
diabetes_012,1.0,AnyHealthcare,4631,0.9451522349384582,0.22770745302455636,1.0,0.0,1.0
diabetes_012,1.0,NoDocbcCost,4631,0.12934571366875405,0.3356184187508808,0.0,0.0,1.0
diabetes_012,1.0,GenHlth,4631,2.9755992226301013,1.0279299074520523,3.0,1.0,5.0
diabetes_012,1.0,MentHlth,4631,4.529907147484344,8.897176097974818,0.0,0.0,30.0
diabetes_012,1.0,PhysHlth,4631,6.348304901749082,10.298012811235116,0.0,0.0,30.0
diabetes_012,1.0,DiffWalk,4631,0.27747786655150075,0.44780263641907103,0.0,0.0,1.0
diabetes_012,1.0,Sex,4631,0.437702440077737,0.4961574059531568,0.0,0.0,1.0
diabetes_012,1.0,Age,4631,9.08335132800691,2.632896490210324,9.0,1.0,13.0
diabetes_012,1.0,Education,4631,4.784495789246383,1.0742345506948991,5.0,1.0,6.0
diabetes_012,1.0,Income,4631,5.351112070827035,2.2087149089931177,6.0,1.0,8.0
diabetes_012,2.0,HighBP,35346,0.7526735698523171,0.43146417455795294,1.0,0.0,1.0
diabetes_012,2.0,HighChol,35346,0.6701182594918803,0.47017659674971607,1.0,0.0,1.0
diabetes_012,2.0,CholCheck,35346,0.9931816895829797,0.08229223931895985,1.0,0.0,1.0
diabetes_012,2.0,BMI,35346,31.94401063769592,7.363400633798088,31.0,13.0,98.0
diabetes_012,2.0,Smoker,35346,0.5182198834380128,0.4996749939626988,1.0,0.0,1.0
diabetes_012,2.0,Stroke,35346,0.09245742092457421,0.28967468001364877,0.0,0.0,1.0
diabetes_012,2.0,HeartDiseaseorAttack,35346,0.22288236292649805,0.4161859147738009,0.0,0.0,1.0
diabetes_012,2.0,PhysActivity,35346,0.6305381089797997,0.4826659229007599,1.0,0.0,1.0
diabetes_012,2.0,Fruits,35346,0.5854410682962712,0.4926527077405126,1.0,0.0,1.0
diabetes_012,2.0,Veggies,35346,0.7564080801222204,0.42925529640060417,1.0,0.0,1.0
diabetes_012,2.0,HvyAlcoholConsump,35346,0.02353873139817801,0.15160906904553673,0.0,0.0,1.0
diabetes_012,2.0,AnyHealthcare,35346,0.9597691393651333,0.19650300488482508,1.0,0.0,1.0
diabetes_012,2.0,NoDocbcCost,35346,0.10586770780286313,0.3076725766334564,0.0,0.0,1.0
diabetes_012,2.0,GenHlth,35346,3.290980591863294,1.009927586874904,3.0,1.0,5.0
diabetes_012,2.0,MentHlth,35346,4.461806144966899,8.947717458078175,0.0,0.0,30.0
diabetes_012,2.0,PhysHlth,35346,7.954478583149437,11.301490525772461,1.0,0.0,30.0
diabetes_012,2.0,DiffWalk,35346,0.37121597917727606,0.4831369162835067,0.0,0.0,1.0
diabetes_012,2.0,Sex,35346,0.4791206925819046,0.4995709312239477,0.0,0.0,1.0
diabetes_012,2.0,Age,35346,9.379052792395179,2.330273074979583,10.0,1.0,13.0
diabetes_012,2.0,Education,35346,4.74551575850167,1.0606173483622547,5.0,1.0,6.0
