Feature,Class_0_Mean,Class_1_Mean,Cohens_d,Effect_Size
AgeCategory,6.2599,9.2343,-0.8581,Large
DiffWalking,0.1176,0.3663,-0.7344,Medium
Stroke,0.0263,0.1603,-0.7176,Medium
PhysicalHealth,2.9564,7.8082,-0.6193,Medium
Diabetic,0.2634,0.6951,-0.6112,Medium
KidneyDisease,0.0285,0.1262,-0.5246,Medium
Smoking,0.3962,0.5859,-0.3874,Small
PhysicalActivity,0.7881,0.6389,0.3594,Small
SkinCancer,0.0849,0.1819,-0.335,Small
Sex,0.4646,0.5896,-0.251,Small
BMI,28.2247,29.4016,-0.1854,Small
Asthma,0.1297,0.1802,-0.1483,Small
Race,4.3838,4.5348,-0.1247,Small
AlcoholDrinking,0.0706,0.0417,0.1147,Small
MentalHealth,3.8288,4.6418,-0.1022,Small
GenHealth,2.2261,2.1654,0.0395,Small
SleepTime,7.0934,7.1362,-0.0298,Small
