Feature,Correlation,Stability_Score,Importance,Importance_Level
Smoking,0.1078,0.986,0.4591,Very High
Sex,0.07,0.9728,0.4311,Very High
BMI,0.0518,0.925,0.4011,Very High
Race,0.0349,0.837,0.3557,High
PhysicalActivity,-0.1,0.7238,0.3495,High
Asthma,0.0414,0.7642,0.3306,High
AgeCategory,0.2334,0.4581,0.3233,High
Diabetic,0.1686,0.5192,0.3088,High
MentalHealth,0.0286,0.7285,0.3085,High
DiffWalking,0.2013,0.4469,0.2995,Medium
PhysicalHealth,0.1707,0.415,0.2684,Medium
SkinCancer,0.0933,0.5222,0.2649,Medium
AlcoholDrinking,-0.0321,0.609,0.2629,Medium
SleepTime,0.0083,0.6174,0.252,Medium
GenHealth,-0.0111,0.5631,0.2319,Medium
Stroke,0.1968,0.19,0.1941,Low
KidneyDisease,0.1452,0.2508,0.1874,Low
